# t MDEC_CT MIXS2 a state off enabled CA FEGv low band
423 c27e 6 3ff 3 1 0 0 1bff -3 -1
424 c27d 6 3ff 3 1 0 0 1bff -3 -1
425 c27c 6 3ff 3 1 0 0 1bff -3 -1
426 c27b 6 3ff 3 1 0 0 1bff -3 -1
427 c27a 6 3ff 3 1 0 0 1bff -3 -1
428 c279 6 3ff 3 1 0 0 1bff -3 -1
429 c278 6 3ff 3 1 0 0 1bff -3 -1
430 c277 6 3ff 3 1 0 0 1bff -3 -1
431 c276 6 3ff 3 1 0 0 1bff -3 -1
432 c275 6 3ff 3 1 0 0 1bff -3 -1
433 c274 6 3ff 3 1 0 0 1bff -3 -1
434 c273 6 3ff 3 1 0 0 1bff -3 -1
435 c272 6 3ff 3 1 0 0 1bff -3 -1
436 c271 6 3ff 3 1 0 0 1bff -3 -1
437 c270 6 3ff 3 1 0 0 1bff -3 -1
438 c26f 6 3ff 3 1 0 0 1bff -3 -1
439 c26e 6 3ff 3 1 0 0 1bff -3 -1
440 c26d 6 3ff 3 1 0 0 1bff -3 -1
441 c26c 6 3ff 3 1 0 0 1bff -3 -1
442 c26b 6 3ff 3 1 0 0 1bff -3 -1
443 c26a 6 3ff 3 1 0 0 1bff -3 -1
444 c269 6 3ff 3 1 0 0 1bff -3 -1
445 c268 6 3ff 3 1 0 0 1bff -3 -1
446 c267 6 3ff 3 1 0 0 1bff -3 -1
447 c266 6 3ff 3 1 0 0 1bff -3 -1
448 c265 6 3ff 3 1 0 0 1bff -3 -1
449 c264 6 3ff 3 1 0 0 1bff -3 -1
450 c263 6 3ff 3 1 0 0 1bff -3 -1
451 c262 6 3ff 3 1 0 0 1bff -3 -1
452 c261 6 3ff 3 1 0 0 1bff -3 -1
453 c260 6 3ff 3 1 0 0 1bff -3 -1
454 c25f 6 3ff 3 1 0 0 1bff -3 -1
455 c25e 6 3ff 3 1 0 0 1bff -3 -1
456 c25d 6 3ff 3 1 0 0 1bff -3 -1
457 c25c 6 3ff 3 1 0 0 1bff -3 -1
458 c25b 6 3ff 3 1 0 0 1bff -3 -1
459 c25a 6 3ff 3 1 0 0 1bff -3 -1
460 c259 6 3ff 3 1 0 0 1bff -3 -1
461 c258 6 3ff 3 1 0 0 1bff -3 -1
462 c257 6 3ff 3 1 0 0 1bff -3 -1
463 c256 6 3ff 3 1 0 0 1bff -3 -1
464 c255 6 3ff 3 1 0 0 1bff -3 -1
465 c254 6 3ff 3 1 0 0 1bff -3 -1
466 c253 6 3ff 3 1 0 0 1bff -3 -1
467 c252 6 3ff 3 1 0 0 1bff -3 -1
468 c251 6 3ff 3 1 0 0 1bff -3 -1
469 c250 6 3ff 3 1 0 0 1bff -3 -1
470 c24f 6 3ff 3 1 0 0 1bff -3 -1
471 c24e 6 3ff 3 1 0 0 1bff -3 -1
472 c24d 6 3ff 3 1 0 0 1bff -3 -1
473 c24c 6 3ff 3 1 0 0 1bff -3 -1
474 c24b 6 3ff 3 1 0 0 1bff -3 -1
475 c24a 6 3ff 3 1 0 0 1bff -3 -1
476 c249 6 3ff 3 1 0 0 1bff -3 -1
