# t MDEC_CT MIXS2 a state off enabled CA FEGv low band
174 c377 -75088 2b8 3 0 1 7181 1bff 37544 -20132
175 c376 -94438 2c0 3 0 1 7182 1bff 47219 38773
176 c375 -124994 2c0 3 0 1 7184 1bff 62497 61229
177 c374 -131508 2c8 3 0 1 7185 1bff 65754 13051
178 c373 -146450 2c8 3 0 1 7187 1bff 73225 29940
179 c372 -176854 2d0 3 0 1 7188 1bff 88427 60924
180 c371 -202332 2d0 3 0 1 7190 1bff 101166 51055
181 c370 -199340 2d8 3 0 1 7191 1bff 99670 -5997
182 c36f -185456 2d8 3 0 1 7193 1bff 92728 -27826
183 c36e -148482 2e0 3 0 1 7194 1bff 74241 -74093
184 c36d -111676 2e0 3 0 1 7196 1bff 55838 -73758
185 c36c -51596 2e8 3 0 1 7197 1bff 25798 -120399
186 c36b 11484 2e8 3 0 1 7199 1bff -5742 -126408
187 c36a 39932 2f0 3 0 1 7200 1bff -19966 -57009
188 c369 55626 2f0 3 0 1 7202 1bff -27813 -31453
189 c368 61026 2f8 3 0 1 7203 1bff -30513 -10822
190 c367 47476 2f8 3 0 1 7205 1bff -23738 27152
191 c366 18304 300 3 0 1 7206 1bff -9152 58457
192 c365 -21920 300 3 0 1 7208 1bff 10960 80605
193 c364 -20134 308 3 0 1 7209 1bff 10067 -3580
194 c363 -5808 308 3 0 1 7211 1bff 2904 -28709
195 c362 19144 310 3 0 1 7212 1bff -9572 -50003
196 c361 43868 310 3 0 1 7214 1bff -21934 -49545
197 c360 38372 318 3 0 1 7215 1bff -19186 11011
198 c35f 7986 318 3 0 1 7217 1bff -3993 60887
199 c35e -4730 320 3 0 1 7218 1bff 2365 25478
200 c35d -12778 320 3 0 1 7220 1bff 6389 16124
201 c35c -3526 328 3 0 1 7221 1bff 1763 -18541
202 c35b 20172 328 3 0 1 7223 1bff -10086 -47489
203 c35a 18060 330 3 0 1 7224 1bff -9030 4231
204 c359 29918 330 3 0 1 7226 1bff -14959 -23764
205 c358 68662 338 3 0 1 7227 1bff -34331 -77642
206 c357 77804 338 3 0 1 7229 1bff -38902 -18320
207 c356 106880 340 3 0 1 7230 1bff -53440 -58269
208 c355 142022 340 3 0 1 7232 1bff -71011 -70422
209 c354 168948 348 3 0 1 7233 1bff -84474 -53958
210 c353 191994 348 3 0 1 7235 1bff -95997 -46183
211 c352 172504 350 3 0 1 7236 1bff -86252 39054
212 c351 142432 350 3 0 1 7238 1bff -71216 60258
213 c350 135942 358 3 0 1 7239 1bff -67971 13003
214 c34f 126754 358 3 0 1 7241 1bff -63377 18409
215 c34e 109770 360 3 0 1 7242 1bff -54885 34032
216 c34d 87678 360 3 0 1 7244 1bff -43839 44270
217 c34c 77696 368 3 0 1 7245 1bff -38848 20001
218 c34b 87926 368 3 0 1 7247 1bff -43963 -20501
219 c34a 117054 370 3 0 1 7248 1bff -58527 -58374
220 c349 126620 370 3 0 1 7250 1bff -63310 -19170
221 c348 96888 378 3 0 1 7251 1bff -48444 59577
222 c347 81280 378 3 0 1 7253 1bff -40640 31274
223 c346 46870 380 3 0 1 7254 1bff -23435 68953
224 c345 15256 380 3 0 1 7256 1bff -7628 63349
225 c344 -3820 388 3 0 1 7257 1bff 1910 38225
226 c343 -31744 388 3 0 1 7259 1bff 15872 55954
227 c342 -79614 390 3 0 1 7260 1bff 39807 95925
228 c341 -86258 390 3 0 1 7262 1bff 43129 13314
229 c340 -73910 398 3 0 1 7263 1bff 36955 -24747
230 c33f -78732 398 3 0 1 7265 1bff 39366 9662
231 c33e -109888 3a0 3 0 1 7266 1bff 54944 62433
232 c33d -131494 3a0 3 0 1 7268 1bff 65747 43296
233 c33c -137704 3a8 3 0 1 7269 1bff 68852 12443
234 c33b -118706 3a8 3 0 1 7271 1bff 59353 -38072
235 c33a -89028 3b0 3 0 1 7272 1bff 44514 -59475
236 c339 -34598 3b0 3 0 1 7274 1bff 17299 -109075
237 c338 9530 3b8 3 0 1 7275 1bff -4765 -88432
238 c337 38634 3b8 3 0 1 7277 1bff -19317 -58324
239 c336 72680 3c0 3 0 1 7278 1bff -36340 -68227
240 c335 93992 3c0 3 0 1 7280 1bff -46996 -42710
241 c334 80598 3c8 3 0 1 7281 1bff -40299 26840
242 c333 52950 3c8 3 0 1 7283 1bff -26475 55404
243 c332 4718 3d0 3 0 1 7284 1bff -2359 96649
244 c331 -60432 3d0 3 0 1 7286 1bff 30216 130551
245 c330 -76360 3d8 3 0 1 7287 1bff 38180 31918
246 c32f -53986 3d8 3 0 1 7289 1bff 26993 -44836
247 c32e -56176 3e0 3 0 1 7290 1bff 28088 4386
248 c32d -40974 3e0 3 0 1 7292 1bff 20487 -30466
249 c32c -49046 3e8 3 0 1 7293 1bff 24523 16175
250 c32b -35714 3e8 3 0 1 7295 1bff 17857 -26717
251 c32a -32916 3f0 3 0 1 7296 1bff 16458 -5608
252 c329 -15382 3f0 3 0 1 7298 1bff 7691 -35137
253 c328 -3374 3f8 3 0 1 7299 1bff 1687 -24066
254 c327 19500 3f8 3 0 1 7301 1bff -9750 -45838
255 c326 35452 3ff 3 1 0 0 1bff -17726 -31969
256 c325 45216 3ff 3 1 0 0 1bff -22608 -19570
257 c324 49730 3ff 3 1 0 0 1bff -24865 -9047
258 c323 50022 3ff 3 1 0 0 1bff -25011 -586
259 c322 47126 3ff 3 1 0 0 1bff -23563 5800
260 c321 42018 3ff 3 1 0 0 1bff -21009 10232
261 c320 35570 3ff 3 1 0 0 1bff -17785 12920
262 c31f 28516 3ff 3 1 0 0 1bff -14258 14133
263 c31e 21448 3ff 3 1 0 0 1bff -10724 14163
264 c31d 14808 3ff 3 1 0 0 1bff -7404 13304
265 c31c 8904 3ff 3 1 0 0 1bff -4452 11831
266 c31b 3918 3ff 3 1 0 0 1bff -1959 9989
267 c31a -68 3ff 3 1 0 0 1bff 34 7985
268 c319 -3054 3ff 3 1 0 0 1bff 1527 5983
269 c318 -5104 3ff 3 1 0 0 1bff 2552 4108
270 c317 -6326 3ff 3 1 0 0 1bff 3163 2446
271 c316 -6848 3ff 3 1 0 0 1bff 3424 1046
272 c315 -6814 3ff 3 1 0 0 1bff 3407 -70
273 c314 -6364 3ff 3 1 0 0 1bff 3182 -903
274 c313 -5630 3ff 3 1 0 0 1bff 2815 -1472
275 c312 -4728 3ff 3 1 0 0 1bff 2364 -1808
276 c311 -3758 3ff 3 1 0 0 1bff 1879 -1947
277 c310 -2796 3ff 3 1 0 0 1bff 1398 -1931
278 c30f -1900 3ff 3 1 0 0 1bff 950 -1799
279 c30e -1108 3ff 3 1 0 0 1bff 554 -1588
280 c30d -444 3ff 3 1 0 0 1bff 222 -1331
281 c30c 82 3ff 3 1 0 0 1bff -41 -1055
282 c30b 472 3ff 3 1 0 0 1bff -236 -782
283 c30a 734 3ff 3 1 0 0 1bff -367 -528
284 c309 886 3ff 3 1 0 0 1bff -443 -305
285 c308 944 3ff 3 1 0 0 1bff -472 -119
286 c307 930 3ff 3 1 0 0 1bff -465 28
287 c306 860 3ff 3 1 0 0 1bff -430 137
288 c305 754 3ff 3 1 0 0 1bff -377 209
289 c304 628 3ff 3 1 0 0 1bff -314 250
290 c303 494 3ff 3 1 0 0 1bff -247 265
291 c302 364 3ff 3 1 0 0 1bff -182 260
292 c301 244 3ff 3 1 0 0 1bff -122 240
293 c300 138 3ff 3 1 0 0 1bff -69 210
294 c2ff 50 3ff 3 1 0 0 1bff -25 174
295 c2fe -18 3ff 3 1 0 0 1bff 9 136
296 c2fd -68 3ff 3 1 0 0 1bff 34 99
297 c2fc -102 3ff 3 1 0 0 1bff 51 65
298 c2fb -120 3ff 3 1 0 0 1bff 60 35
299 c2fa -126 3ff 3 1 0 0 1bff 63 11
300 c2f9 -124 3ff 3 1 0 0 1bff 62 -8
301 c2f8 -114 3ff 3 1 0 0 1bff 57 -22
302 c2f7 -100 3ff 3 1 0 0 1bff 50 -31
303 c2f6 -84 3ff 3 1 0 0 1bff 42 -36
304 c2f5 -66 3ff 3 1 0 0 1bff 33 -38
305 c2f4 -48 3ff 3 1 0 0 1bff 24 -37
306 c2f3 -32 3ff 3 1 0 0 1bff 16 -35
307 c2f2 -18 3ff 3 1 0 0 1bff 9 -31
308 c2f1 -6 3ff 3 1 0 0 1bff 3 -26
309 c2f0 4 3ff 3 1 0 0 1bff -2 -21
310 c2ef 10 3ff 3 1 0 0 1bff -5 -16
311 c2ee 14 3ff 3 1 0 0 1bff -7 -11
312 c2ed 16 3ff 3 1 0 0 1bff -8 -7
313 c2ec 16 3ff 3 1 0 0 1bff -8 -4
314 c2eb 16 3ff 3 1 0 0 1bff -8 -2
315 c2ea 16 3ff 3 1 0 0 1bff -8 0
316 c2e9 14 3ff 3 1 0 0 1bff -7 1
317 c2e8 12 3ff 3 1 0 0 1bff -6 2
318 c2e7 10 3ff 3 1 0 0 1bff -5 2
319 c2e6 8 3ff 3 1 0 0 1bff -4 2
320 c2e5 6 3ff 3 1 0 0 1bff -3 2
321 c2e4 4 3ff 3 1 0 0 1bff -2 2
322 c2e3 2 3ff 3 1 0 0 1bff -1 2
323 c2e2 0 3ff 3 1 0 0 1bff 0 1
324 c2e1 0 3ff 3 1 0 0 1bff 0 0
325 c2e0 0 3ff 3 1 0 0 1bff 0 0
326 c2df 0 3ff 3 1 0 0 1bff 0 0
327 c2de 0 3ff 3 1 0 0 1bff 0 0
328 c2dd 0 3ff 3 1 0 0 1bff 0 0
329 c2dc 0 3ff 3 1 0 0 1bff 0 0
330 c2db 0 3ff 3 1 0 0 1bff 0 0
331 c2da 0 3ff 3 1 0 0 1bff 0 0
332 c2d9 0 3ff 3 1 0 0 1bff 0 0
333 c2d8 0 3ff 3 1 0 0 1bff 0 0
334 c2d7 0 3ff 3 1 0 0 1bff 0 0
